331:58,8,17,654,518,289,84,302,616,1102
345:11841,1754,77581,805,385,3250,92129,45975,83173,80736
361:654,84,302,58,650,1102,301,29,518,8
376:17,302,84,8,58,518,654,1102,285,363
384:302,1196,616,542,654,58,15,17,224,564
401:518,891,17,1119,656,902,1187,1190,4299,787
402:302,17,654,58,518,650,616,8,486,32
410:17,518,616,302,84,736,8,1405,1535,787
448:70,364,226,654,76,245,1023,17,1119,94
449:302,616,564,542,654,356,17,8,58,289
450:17,654,650,616,58,302,70,94,15,1102
452:8,1549,2605,19180,5517,42894,7869,64684,74406,60815
476:15,238,402,616,542,17,245,654,1535,518
488:616,58,1305,302,654,861,238,486,1549,17
490:302,616,17,518,15,8,654,84,58,861
494:518,8,616,17,302,542,84,245,6,654
500:17,62,302,616,518,58,301,654,650,289
514:14416,1787,33063,54846,27419,999,38342,48628,32083,698
525:654,8,17,518,15,6,616,302,1535,70
535:302,654,17,616,518,650,8,285,486,29
536:1410,2733,2557,245,813,8873,302,103,483,1886
538:8,518,84,1127,295,236,616,2927,5998,605
539:8,1405,508,518,2193,84,1382,103,15,1511
564:302,616,542,17,15,76,245,654,32,84
582:654,17,616,58,518,84,29,8,650,736
585:15861,1099,1109,1233,107491,19841,238,2527,14758,3371
590:17,302,1023,354,616,70,650,654,289,1462
601:18245,226,27912,48912,67228,69110,75023,90054,90819,94414
618:302,17,616,62,58,1097,542,1535,409,861
624:168,1069,719,5557,135,4190,1400,8733,3698,984
627:83175,14210,4671,11539,13348,607,1077,7088,815,9594
628:293,5395,11603,3234,13171,22912,26992,29245,32365,35615
632:866,81,226,361,238,669,698,262,873,2139
633:302,616,17,15,650,8,542,58,518,564
634:508,81,76,70,1535,616,58,1405,226,521
646:361,1995,546,254,2139,17,1728,13420,866,51199
666:5319,25145,16361,6152,22374,22504,1337,48042,45927,40086
667:9043,327,62,347,1471,238,698,8226,226,262
669:1333,69391,65099,16397,4021,16833,17,92369,14947,73095
678:16496,26528,21627,32166,31555,56198,33160,69816,35915,65429
680:302,616,564,542,654,356,17,8,58,289
681:245,17,4268,518,1987,58,616,650,65,15
682:564,65,1382,518,508,17,2200,8,1023,15
683:258,542,4204,2063,17974,429,48672,66150,441,5287
684:674,94,873,219,1410,58444,60857,129,1756,30532
715:533,311,5975,8772,7622,13420,3034,7926,306,2051
716:654,58,302,17,616,76,301,61,84,29
741:168,12118,135,760,719,1400,2103,2632,7351,16956
750:17,947,518,15,616,58,542,322,61,289
754:245,15,2223,2302,3163,564,1987,194,542,8
756:654,84,302,58,650,1102,301,29,518,8
757:2953,50356,11534,63448,861,2979,1511,122,2944,35190
758:17,616,302,650,508,58,8,15,542,518
763:302,17,518,15,8,654,84,58,861,650
773:17,518,138,76,787,542,245,1511,15,650
774:17,654,518,542,616,1023,302,76,1196,32
775:302,616,17,58,6,486,518,1405,542,654
782:17,542,518,1023,84,354,15,616,496,8
784:17,8,508,245,1002,518,58,76,616,554
793:17,138,518,616,654,542,58,70,302,2193
803:48,17,84,1187,245,508,518,354,496,302
813:302,654,17,616,518,650,8,285,486,29
815:542,17,1196,58,8,654,564,84,15,1405
817:17,58,654,245,302,518,70,354,61,508
818:508,1023,17,65,70,656,363,58,1405,1050
823:518,302,1405,616,542,17,8,6,15,32
825:654,17,616,58,518,84,29,8,650,736
833:486,17,518,15,542,616,1511,508,483,8
835:1405,518,17,616,302,1196,245,508,289,409
838:8066,219,131,245,8392,17077,12861,7210,4671,1002
844:518,302,1405,616,542,17,8,6,15,32
850:866,17,654,354,302,58,1023,76,301,1462
856:17,58,8,616,902,542,554,4904,518,194
857:654,84,302,58,650,1102,301,29,518,8
874:209,8,787,518,302,15,285,656,17,1126
891:361,17,654,302,518,8,58,29,236,354
899:1410,103,17,2733,128,508,8,1471,542,84
900:17,518,61,58,483,15,29,245,736,1050
911:14966,7627,20836,16701,9095,6901,87631,5357,7981,4880
918:518,302,1405,616,542,17,8,6,15,32
925:17,616,8,518,302,654,564,58,483,84
926:17,616,654,542,302,58,15,564,1578,224
937:518,616,542,302,1405,654,8,1511,2193,2172
949:76,29,8,84,58,616,654,302,17,650
964:774,245,2714,2403,2696,1524,94,3506,947,119
970:2656,14636,2026,4300,9093,8,4613,5010,50946,84
977:302,654,285,58,616,17,736,564,8,542
981:1002,245,1410,472,353,441,1786,4268,4798,2980
982:3028,1758,18769,4364,20015,4669,7003,86569,42151,20975
984:238,224,17,518,262,15,1703,1276,564,1245
992:245,17,4268,58,654,6,518,61,15,616
993:361,17,654,302,518,8,58,29,236,354
998:518,1009,17,245,1987,656,1405,8,999,564
1000:1405,327,4499,65,518,372,302,12066,656,787
1007:518,616,58,17,542,486,654,787,15,302
1027:168,984,719,2642,8733,6097,801,135,2103,2153
1028:654,363,17,518,616,486,76,58,302,8
1044:17,84,654,8,518,736,354,302,650,58
1045:302,17,564,84,518,354,8,236,15,224
1049:518,542,17,15,616,554,301,302,2512,486
1068:669,873,931,168,1276,719,225,431,710,1744
1069:17,616,302,518,58,8,564,224,236,289
1070:17,61,654,8,58,616,1267,1578,15,3097
1082:17,58,654,302,289,518,61,542,787,8
1083:2027,1603,75042,1884,3888,5581,10288,71491,2233,518
1088:17,1196,76,486,654,4181,616,32,542,15
1094:361,17,654,302,518,8,58,29,236,354
1116:302,17,650,76,84,3235,62,236,224,616
1121:17,1578,289,1348,84,902,1140,1086,616,568
1125:518,302,15,2193,17,616,496,654,1511,1023
1127:3039,66616,534,431,22436,35603,354,3824,657,20781
1132:17,518,8,616,542,302,58,787,1023,62
1133:17,29,322,1471,58,1002,2030,3184,1535,1403
1140:302,17,650,8,15,62,654,564,1196,58
1141:84,787,1131,103,2193,8,17,8075,1508,302
1148:4021,687,4249,6733,1539,2416,2967,1152,1510,12332
1153:17,1023,518,302,616,654,736,84,496,1102
1163:1097,7556,6304,5262,1335,9250,14514,6463,12092,8077
1166:15,245,2955,2302,5117,1987,472,1382,103,5699
1172:1109,17,58,402,302,650,32,97,29,508
1192:518,15,17,616,486,542,8,654,1405,61
1204:654,17,616,58,736,162,302,1511,84,508
1208:361,866,254,654,1995,358,15,1728,7194,58
1209:1460,168,1326,76,65,2582,1405,1682,3789,710
1234:1787,76,2600,40,30317,13087,7146,13060,1913,698
1236:931,84,14186,390,15,673,1558,743,17,32
1245:518,17,58,1405,542,654,3233,1126,289,486
1263:302,17,654,58,518,650,616,8,486,32
1267:8064,11810,1046,26382,34356,8647,23019,14071,23688,58494
1269:17,616,518,32,931,1023,94,947,508,8
1288:22068,1017,3075,13278,9595,4702,564,34072,23313,62171
1295:302,616,17,15,650,8,542,58,486,518
1296:17,1023,518,654,302,736,84,496,1102,787
1302:17,616,302,654,58,15,542,238,650,62
1305:542,650,616,17,58,302,1535,62,238,518
1342:84,17,518,486,616,1102,302,654,554,542
1382:518,119,1405,103,2200,245,17,15,999,656
1389:75115,40853,1305,4245,61636,586,2455,99347,76,2789
1391:5741,26376,16935,1310,32,503,92073,4027,55570,93283
1397:81,226,140,500,1749,380,4021,508,4048,17
1402:17,138,58,70,518,302,616,226,654,1023
1405:24722,96890,92558,4697,17,302,654,76,616,58
1407:518,17,8,302,616,61,542,1196,1023,58
1408:302,616,564,542,654,356,17,8,58,289
1409:616,654,302,17,564,542,518,101,285,8
1412:58,654,17,302,542,84,616,787,564,32
1413:17,58,29,8,650,302,787,1403,616,6
1418:302,654,17,616,518,650,8,285,486,29
1419:1352,4755,1527,3107,1712,2880,6266,10041,12990,30505
1420:17,654,302,616,787,285,301,542,65,58
1427:17,616,508,654,32,353,58,542,15,364
1430:616,17,654,302,8,76,289,518,285,101
1431:302,17,654,58,518,650,616,8,486,32
1435:17,518,616,302,84,736,8,1405,1535,787
1437:1405,616,363,364,518,15,698,654,787,542
1441:6559,3307,2715,840,6745,2548,245,749,3177,1435
1447:17,518,3233,15,327,787,131,1126,1405,1382
1448:542,654,245,8153,81,20642,518,3233,58,2326
1457:17,542,15,61,518,654,1511,1196,650,302
1458:17,302,654,363,322,1196,15,1578,542,6
1469:236,3448,4724,554,7795,654,19536,14750,11621,32741
1477:103,230,245,947,7415,1471,1002,62,94,6
1486:654,709,546,1546,17,36159,50749,131,289,508
1490:654,302,17,650,616,15,58,564,518,4919
1491:302,17,654,58,518,650,616,8,486,32
1500:654,84,302,58,650,1102,301,29,518,8
1503:17,302,289,61,4246,245,76,999,58,199
1517:950,15924,24234,2893,40762,46049,52850,31084,72329,72172
1518:1405,518,8,15,17,302,194,94,131,61
1535:29,8,76,58,17,302,616,866,84,654
1551:302,654,17,616,518,650,8,285,486,29
1552:29723,1402,29,17,35722,19245,8892,302,2342,1382
1553:654,17,302,58,76,616,656,542,518,327
1559:518,616,15,486,787,302,654,8,1511,902
1560:245,518,61,17,15,8,616,564,1511,2200
1561:15,1405,2200,17,32,4268,5567,1987,245,353
1562:17,8,654,58,542,518,546,6,238,616
1569:986,3819,17,302,654,76,616,58,8,866
1570:518,8,17,1140,542,70,199,58,616,656
1588:84,710,2233,1499,690,899,103,10455,354,1245
1589:518,17,8,84,61,245,327,58,508,103
1591:69776,62108,17,302,654,76,616,58,8,866
1601:17,58,616,518,15,322,654,1405,650,302
1602:999,1987,542,1126,8,17,4268,616,873,245
1629:17,486,15,542,58,1511,81,616,787,364
1634:8337,2265,347,76,65,40087,20836,4147,1119,7334
1642:518,542,616,17,15,554,301,188,787,302
1653:17,616,58,654,302,564,62,542,518,8
1654:15,518,58,542,17,101,654,616,302,61
1655:302,29,654,17,616,58,486,8,650,1140
1668:302,654,29,58,616,17,542,239,15,162
1681:17,245,8,61,518,616,84,542,58,76
1703:48,899,17,245,891,1119,875,518,496,84
1721:616,58,289,302,15,17,1476,354,138,3304
1727:8,542,17,787,616,518,301,65,1511,1050
1728:542,518,32,103,1511,656,508,999,15,1405
1745:5242,24123,2292,361,6020,13959,2194,56260,29,1410
1746:17,616,58,2233,654,15,656,542,787,302
1751:206,13108,8075,1131,46776,564,16468,27638,4481,34814
1756:8,58,61,542,944,518,17,616,787,84
1758:245,15,486,8873,616,302,508,483,542,710
1761:10451,97962,46994,14600,25716,976,27135,18704,3375,1342
1767:8,17,542,616,787,654,6,15,518,103
1779:8635,37843,1674,17395,67185,86913,93097,93631,103533,65741
1780:9354,13960,3041,67574,1772,48208,88524,731,72271,10404
1783:17,58,654,302,289,518,61,542,787,8
1787:17,302,8,84,542,58,3619,5303,1410,238
1788:70,226,245,1023,17,65,364,508,1002,654
1794:364,17,302,8,15,1196,542,245,508,518
1796:546,17,58,616,302,61,564,654,32,364
1803:616,518,6,302,8,17,2200,564,508,15
1820:518,17,58,1405,542,654,3233,1126,289,486
1821:518,15,302,1405,32,17,58,496,616,654
1822:564,17,518,8,616,654,76,58,84,736
1823:518,616,302,58,17,654,363,6,15,542
1840:616,564,656,542,58,1050,356,902,238,787
1841:719,168,661,4877,1081,135,8860,8733,574,11255
1842:518,1196,302,616,58,654,17,486,542,861
1850:17,302,8,654,58,616,84,518,554,650
1853:22506,22755,37064,1737,14365,3171,3618,52124,4833,33412
1854:1196,17,654,616,518,902,542,15,58,245
1862:302,654,17,616,518,650,8,285,486,29
1880:48,17,84,1187,245,508,518,354,496,302
1883:7101,530,31164,39584,51681,73,47740,1874,402,23694
1890:8,518,84,1102,17,58,15,2193,1405,1511
1891:17,654,302,58,616,1245,29,1196,3101,363
1893:654,17,61,15,32,1102,1405,302,2193,76
1894:508,2200,17,84,8,518,1644,81,226,902
1911:11490,103762,24319,17966,29727,10572,11626,17271,22665,42624
1912:654,302,17,650,616,15,58,564,518,4919
1913:302,654,17,18062,58,239,564,1102,736,616
1930:3196,840,157,197,5111,10541,5627,2548,7160,27070
1932:18627,37860,79883,9354,106225,17,302,654,76,616
1950:302,616,564,542,654,356,17,8,58,554
1951:2121,1360,542,564,17,654,1287,616,61,899
1952:654,302,58,17,84,162,542,285,616,289
2005:17,62,285,616,654,564,58,302,6,650
2017:29,76,866,8,302,58,84,17,616,654
2025:236,17,10075,776,6766,8861,364,1558,302,4203
2030:17,58,8,616,902,542,554,4904,518,194
2034:8133,22975,15419,84200,21620,88128,25014,88548,28216,13957
2038:17,8,84,508,58,542,616,15,654,902
2046:19871,3372,27296,23245,13889,8,26205,87209,11199,10492
2058:3440,12597,1617,38690,17944,93408,121818,48197,88234,43327
2068:1002,2980,2200,8566,2715,4798,245,1267,17,61
2070:14316,12914,1656,1440,26649,6104,685,8000,19306,33094
2071:17,1405,654,616,2030,322,402,357,1200,245
2072:17,518,616,8,61,101,103,289,542,245
2074:3808,1790,1446,31210,16745,21684,3921,1600,87292,1474
2075:15,518,616,58,654,1405,131,2193,17,486
2076:866,361,238,698,262,2139,500,358,409,901
2077:15,1987,8,616,518,1405,17,787,194,542
2080:302,518,17,8,542,58,564,15,654,1023
2085:48,899,1187,2162,17,518,1119,70,736,245
2097:76,1196,17,654,1511,62,58,787,45,81
2112:76,168,17,654,2642,245,752,564,661,2139
2115:8,17,542,616,787,654,6,15,518,103
2116:518,327,787,101,656,17,1405,654,616,188
2123:17,654,518,58,616,302,354,363,8,285
2135:58,140,76,650,262,787,780,1126,17,616
2141:81,138,986,2204,698,899,542,2030,508,1535
2147:18114,6614,13203,27447,4363,6589,40010,20911,32352,49
2154:168,2642,719,463,135,2153,801,2318,1081,5480
2160:616,518,654,17,8,554,542,564,289,84
2162:60979,54384,20939,35033,40610,9395,168,46445,7118,74766
2170:1109,17,616,76,84,736,508,70,518,8
2177:224,17,29,302,81,44,378,654,182,301
2184:302,58,17,654,616,162,29,861,650,6
2185:505,7351,2778,409,2600,168,44264,7146,2636,15624
2187:17,302,654,76,616,58,8,866,84,29
2211:44173,51047,18936,54880,55435,62500,45890,82813,4232,101523
2223:251,30282,9783,34134,10020,3522,1205,2582,398,23532
2243:12389,190,28,58,124,7409,530,2495,6315,13031
2244:17,654,302,616,285,58,101,650,518,61
2247:302,616,564,542,654,356,17,8,58,289
2250:49715,71709,22792,17,302,654,76,616,58,8
2253:542,17,1050,496,698,238,15,61,138,361
2260:168,719,2715,1460,1326,5738,1205,2318,2337,4453
2261:908,17,84,947,787,2302,1023,8,508,94
2262:17,302,654,76,616,58,8,866,84,29
2290:9906,7059,578,18851,1822,151,10121,147,2615,4619
2291:17,29,654,302,616,8,58,138,6,787
2293:1405,245,518,1126,17,103,8,378,364,787
2301:4032,17,429,4210,84,2668,182,7611,5567,302
2302:16229,5587,20300,245,39395,774,1524,353,15642,8398
2304:168,2103,14593,9657,1326,1124,76,8860,719,7994
2318:861,58,654,302,616,17,564,1684,429,101
2325:17,245,15,364,616,654,508,1405,58,131
2335:302,654,17,616,518,650,8,285,486,29
2343:17,925,302,245,508,4802,650,244,1549,1410
2346:17,654,518,70,84,354,302,616,15,289
2347:158,73249,99856,120971,67674,1403,1118,74217,99949,8400
2348:1405,518,364,32,542,656,1196,616,17,15
2362:669,225,4292,7680,1592,2983,924,5184,98,1989
2363:58,302,654,17,616,1140,518,542,15,94
2364:616,302,17,564,542,518,101,285,8,486
2369:8,29,654,76,17,58,84,866,302,616
2373:84,17,518,486,616,1102,302,654,554,542
2381:17,84,654,6,8,3234,542,302,97,138
2382:2280,754,5346,20972,7920,1578,13278,10985,4249,2273
2384:48,899,17,245,891,1119,875,518,496,84
2385:17,58,302,8,654,15,1196,616,114,650
2392:17,302,654,76,616,58,8,866,84,29
2393:1126,2302,65,1471,4249,5117,486,1405,245,931
2394:17,654,302,301,84,787,8,1102,616,289
2395:58,654,15,302,554,17,1804,518,238,289
2399:17,891,650,224,302,76,654,508,616,901
2405:94,616,302,17,518,1405,61,58,654,650
2407:4137,4696,17,15724,3688,76,16036,24838,18783,71337
2408:29,84,8,58,654,616,17,76,302,650
2419:8,616,58,61,17,76,245,2193,6,873
2429:17,245,354,70,6,65,1382,302,1187,94
2447:654,17,616,58,518,84,29,8,736,1023
2452:2282,12832,2848,20575,25216,35268,30791,698,24481,19626
2453:71417,23740,29657,2908,925,13396,1231,263,20408,16642
2454:84,17,131,736,402,15,1405,518,1187,301
2456:654,17,616,58,518,84,29,8,650,736
2461:1405,518,17,616,302,1196,245,508,409,289
2464:361,17,654,302,518,8,58,29,236,354
2465:8,542,518,654,17,103,76,650,1410,3233
2469:17,302,58,84,1102,29,616,8,518,736
2489:168,984,661,76,1326,1528,2153,719,463,574
2491:2319,17,302,654,76,616,58,8,866,84
2499:1097,92989,103105,17,302,654,76,616,58,8
2500:616,58,17,999,654,564,3233,508,61,302
2501:6691,162,22827,3169,76,302,182,19687,21494,19877
2505:568,17,302,262,654,1200,65,29,32,84
2510:1460,168,1326,76,65,1790,2582,1405,1682,3789
2515:37186,47480,3159,83776,20163,8554,11543,17,302,654
2518:15,616,8,787,17,1405,654,564,698,1196
2520:58,542,61,17,616,1535,3101,518,1196,238
2521:15,17,285,58,654,66,486,493,1578,62
2524:542,650,616,654,17,58,302,1535,62,518
2536:518,17,542,302,616,736,15,8,999,486
2541:518,58,17,542,15,654,656,616,1196,302
2547:17,302,787,8,84,518,58,236,616,76
2553:8299,35643,59841,946,94715,56308,10161,36323,61182,76724
2558:302,616,58,650,84,654,322,17,15,62
2560:17,518,8,616,542,302,58,787,1023,62
2563:1405,518,17,616,302,1196,245,508,409,289
2573:17,302,787,8,84,518,58,236,616,76
2591:654,17,302,616,29,15,1196,62,58,61
2596:84,17,518,486,616,1102,302,654,554,542
2597:58,140,76,650,262,787,780,1126,17,616
2601:17,518,76,302,654,8,787,542,58,238
2604:58,140,76,650,262,787,780,1126,17,616
2611:17,245,15,364,616,654,508,1405,58,131
2612:654,542,17,616,518,245,238,29,302,1987
2615:542,302,17,61,1790,1023,58,518,15,70
2625:698,17,364,76,542,1086,1400,81,518,15
2626:84,17,518,486,616,302,654,1102,542,736
2634:42194,17,302,654,76,616,58,8,866,84
2636:616,17,564,654,238,58,650,302,190,15
2639:17,542,518,1023,84,354,15,616,496,8
2650:33609,90235,97607,8836,17,302,654,76,616,58
2661:1405,1099,245,12287,11,238,3213,548,45,1220
2663:17,1535,518,616,84,508,8,654,899,32
2666:6901,8783,1651,8129,12093,564,76,6117,24647,5357
2676:276,6456,4228,4864,12821,37149,18386,14657,15228,2252
2689:17,15,2531,542,616,656,76,5117,2233,103
2693:29,84,58,616,8,654,17,302,76,650
2708:302,616,564,542,654,356,17,8,58,554
2709:774,970,245,518,2714,4487,1827,3506,2696,3162
2713:964,50724,2136,5478,10269,55527,2516,68624,18025,14768
2715:76,168,17,654,2642,245,752,564,661,2139
2716:986,81,616,226,542,500,8,11325,710,5381
2727:58,650,245,62,17,616,654,224,8,1140
2730:7901,17,43173,6613,26744,9057,5325,483,58311,1703
2731:654,245,616,17,84,70,302,542,29,554
2734:564,76,17,518,616,1069,947,736,4017,3101
2735:931,245,226,17,76,710,10041,1352,1126,1987
2737:17,518,1405,302,15,8,1511,736,616,101
2745:17,61,518,787,3233,1987,32,616,15,654
2746:2312,23595,27209,16151,2439,32863,25368,13137,5595,17498
2748:5287,5117,1100,32274,1262,327,564,245,353,554
2756:15,17,1196,58,302,32,654,3101,62,402
2760:542,17,1196,58,8,654,564,84,15,1405
2776:669,225,4292,7680,1592,2983,924,5184,98,1989
2799:29280,4904,902,6901,564,736,873,27635,4093,289
2802:654,84,302,58,650,1102,301,29,518,8
2803:347,670,14237,19829,94755,33572,97817,2074,88529,2595
2804:17,58,62,654,650,616,787,302,224,518
2805:15,496,124,1410,1039,873,5582,7048,931,17
2812:17,616,15,650,654,787,302,58,62,554
2815:168,719,984,5767,1400,1326,661,564,8733,8860
2827:58,1196,616,17,861,654,650,190,76,483
2831:84,17,654,8,736,518,302,354,70,650
2846:17,302,84,8,58,518,654,1102,285,363
2848:17,616,508,654,32,353,58,542,15,364
2853:18850,11243,16962,83814,15971,29458,68624,827,89994,5738
2854:17,245,15,364,616,654,508,1405,58,131
2857:17,654,650,119,30739,1521,1066,37464,20458,1744
2858:654,17,616,58,518,84,29,8,650,736
2861:34070,8772,23848,3741,4040,12294,6977,7524,3164,120994
2871:4755,189,3107,1527,1712,17,650,2139,226,616
2907:302,17,654,58,518,650,616,8,486,32
2912:429,17,119,238,76,226,12301,508,84,1405
2914:518,17,616,486,542,15,364,1196,1549,654
2924:168,984,1400,5480,574,16956,5557,1147,1326,16188
2925:4586,4425,43927,11612,2717,26985,33385,358,2548,81
2947:33315,2741,18970,24301,46125,8643,66050,66993,3673,47094
2951:30839,62,654,224,616,302,6,17,483,1069
2959:616,654,486,70,32,692,15,551,1196,356
2960:17,1535,518,616,84,508,8,654,899,32
2963:302,58,15,616,17,1196,654,483,542,486
2965:698,5557,135,650,564,29475,6097,984,3789,18240
2967:2917,1205,3618,5122,1410,827,1002,4444,441,4194
2970:616,58,114,8,17,302,787,1196,564,542
2977:17,378,8,58,84,76,616,1744,654,285
2981:616,518,65,302,17,6,238,8,861,1987
2989:17,891,245,518,486,8,58,84,5176,999
2990:202,17,698,13959,15161,75642,642,32798,89392,37287
3002:17,302,654,76,616,58,8,866,84,29
3004:719,168,2833,574,661,1230,3083,1147,135,2103
3011:101,69196,3755,61169,9816,1360,4249,52257,1382,21556
3013:17,245,616,518,15,65,1744,327,656,131
3037:17,302,654,76,616,58,8,866,84,29
3038:247,13889,50306,7021,16016,6503,10492,37869,17567,69606
3044:654,17,302,8,58,1102,29,289,616,76
3070:4146,10692,8783,6901,76,2528,12093,8129,48431,2354
3081:1382,508,15,2548,710,472,61,322,1987,76
3100:616,654,302,17,564,542,518,101,285,8
3102:168,1400,5480,574,7838,2153,2103,8860,719,3601
3105:790,29828,2149,873,16739,38870,25196,12427,97610,21070
3107:650,5738,481,564,1023,226,1326,238,168,508
3110:518,616,654,542,15,58,302,2193,17,1405
3111:1405,245,542,17,518,363,508,5117,1535,131
3113:616,103,3233,518,17,542,15,8,508,245
3121:302,616,564,542,654,356,17,8,58,554
3125:70,302,17,1023,654,354,542,616,58,76
3126:17,302,654,76,616,58,8,866,84,29
3129:17,654,616,302,58,15,542,1535,29,289
3139:361,17,654,302,518,8,58,29,236,354
3144:302,29,8,76,58,17,84,616,866,654
3152:17,1405,654,238,32,650,15,4268,1471,2018
3166:848,3003,2593,6846,9877,12115,17519,12699,13059,12670
3167:1326,168,564,226,1023,984,1400,25230,3599,8769
3169:542,15,656,8,245,999,518,17,103,1405
3170:518,302,1405,616,542,17,8,6,15,32
3172:542,58,518,302,616,15,654,356,32,268
3176:17,616,564,61,285,302,15,58,245,8
3183:76,302,17,58,650,616,15,364,32,29
3184:81,226,873,986,378,931,168,780,1276,719
3193:542,58,518,302,616,15,654,356,32,268
3195:17,787,81,84,1119,8,302,3025,1534,32
3220:302,654,17,616,518,650,8,285,486,29
3229:17,15,564,61,508,302,616,364,902,32
3234:302,26350,25572,15744,17488,19164,62411,58,6647,76560
3237:110318,54099,28760,9915,113362,77678,58923,41101,102041,22678
3238:518,17,58,1405,542,654,3233,1126,289,486
3239:654,17,616,58,518,84,29,8,650,736
3246:866,361,238,698,262,2139,500,358,409,901
3258:302,518,17,8,542,58,564,15,654,1023
3263:17,518,302,84,8,616,542,29,58,76
3264:17,302,654,76,616,58,8,866,84,29
3277:9043,327,1471,347,238,262,8226,226,698,508
3279:17,654,302,1102,84,8,564,1023,518,616
3295:518,654,76,542,245,17,15,65,58,616
3305:17,245,402,564,500,363,508,76,1099,262
3306:17,76,262,40,10684,62,61,45,81,358
3308:302,654,17,1239,15,866,29,58,616,2626
3309:17,616,58,654,8,542,518,861,76,302
3319:848,3003,2593,6846,9877,12115,17519,12699,13059,12670
3320:2548,17,947,1382,245,103,616,363,564,901
3328:17,518,654,616,354,364,542,58,245,302
3329:81,986,70,226,7585,6733,3239,238,2967,1468
3335:58,17,8,654,518,289,84,302,616,1102
3346:70,17,508,616,101,84,1023,226,364,518
3352:518,17,58,1405,542,654,3233,1126,289,486
3353:60218,20276,16624,654,1023,873,34879,616,4014,15727
3360:17,1023,518,302,616,654,736,84,496,1102
3374:8129,26437,48431,4146,10302,1651,4110,41174,24647,2528
3376:654,542,616,58,17,302,1023,518,76,61
3383:1326,29417,22777,9345,8860,3211,21038,23766,719,429
3386:5780,11003,48901,3181,24569,28120,12253,11621,80647,14336
3411:564,654,736,70,29,138,302,873,12872,16447
3412:129,2051,71593,1007,76480,56533,88968,68683,28894,72467
3413:245,17,65,58,1987,61,508,518,1744,999
3416:1352,4755,189,3107,2880,17,1527,12990,4568,378
3419:17,32,15,8,654,616,58,542,483,402
3421:17,8,616,61,1196,58,84,518,1102,508
3423:518,302,1405,616,542,17,8,6,15,32
3426:17,483,302,654,1511,616,490,6,15,58
3428:1164,826,5527,242,34328,262,4213,69131,13273,3501
3429:17,650,616,224,1245,58,302,15,29,542
3431:3225,47290,76,88768,2139,34500,683,80576,1730,17
3432:140,44704,698,226,76,2512,31890,2564,8283,13526
3450:8503,7849,8118,11048,46108,27189,13363,70276,123270,17394
3453:873,931,168,1276,719,431,4697,1539,2715,1460
3475:616,61,58,2030,1405,76,8,17,15,564
